movie_name,movie_year,movie_rating_type,movie_description,movie_keywords,movie_genre,movie_actors,movie_rating_user,movie_rating,direction,writers,storyline,movie_runtime
Iron Man,2008,PG-13,"Iron Man is a movie starring Robert Downey Jr., Gwyneth Paltrow, and Terrence Howard. After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","stan lee character,playboy,inventor,robot suit,marvel cinematic universe","['Action', 'Adventure', 'Sci-Fi']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']",817123,7.9,['Jon Favreau'],"['Mark Fergus', 'Hawk Ostby', 'Art Marcum', 'Matt Holloway', 'Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']","    Tony Stark. Genius, billionaire, playboy, philanthropist. Son of legendary inventor and weapons contractor Howard Stark. When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt. Col. James Rhodes, he's given a ride on enemy lines. That ride ends badly when Stark's Humvee that he's riding in is attacked by enemy combatants. He survives - barely - with a chest full of shrapnel and a car battery attached to his heart. In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else. Thus Iron Man is born. He uses the primitive device to escape from the cave in Iraq. Once back home, he then begins work on perfecting the Iron Man suit. But the man who was put in charge of Stark Industries has plans of his own to take over Tony's technology for other matters.",2h6min
The Incredible Hulk,2008,PG-13,"The Incredible Hulk is a movie starring Edward Norton, Liv Tyler, and Tim Roth. Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.","marvel cinematic universe,hulk,based on comic,scene during opening credits,bruce banner character","['Action', 'Adventure', 'Sci-Fi']","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt']",381001,6.8,['Louis Leterrier'],"['Zak Penn', 'Zak Penn', 'Stan Lee', 'Jack Kirby']","    Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges; The Abomination.",1h52min
Iron Man 2,2010,PG-13,"Iron Man 2 is a movie starring Robert Downey Jr., Mickey Rourke, and Gwyneth Paltrow. With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to...","stan lee character,billionaire,superhero,power suit,based on comic book","['Action', 'Sci-Fi']","['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow', 'Don Cheadle']",619650,7.0,['Jon Favreau'],"['Justin Theroux', 'Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']","    With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",2h4min
Thor,2011,PG-13,"Thor is a movie starring Chris Hemsworth, Anthony Hopkins, and Natalie Portman. The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest...","scientist,alien superhero,marvel cinematic universe,male alien,action heroine","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman', 'Tom Hiddleston']",642740,7.0,['Kenneth Branagh'],"['Ashley Miller', 'Zack Stentz', 'Don Payne', 'J. Michael Straczynski', 'Mark Protosevich', 'Stan Lee', 'Larry Lieber', 'Jack Kirby']","    The warrior Thor (Hemsworth) is cast out of the fantastic realm of Asgard by his father Odin (Hopkins) for his arrogance and sent to Earth to live among humans. Falling in love with scientist Jane Foster (Portman) teaches Thor much-needed lessons, and his new-found strength comes into play as a villain from his homeland sends dark forces toward Earth.",1h55min
Captain America: The First Avenger,2011,PG-13,"Captain America: The First Avenger is a movie starring Chris Evans, Hugo Weaving, and Samuel L. Jackson. Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But...","scientist,tesseract,war bond,arctic,self destruct","['Action', 'Adventure', 'Sci-Fi']","['Chris Evans', 'Hugo Weaving', 'Samuel L. Jackson', 'Hayley Atwell']",621768,6.9,['Joe Johnston'],"['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby']","    It is 1942, America has entered World War II, and sickly but determined Steve Rogers is frustrated at being rejected yet again for military service. Everything changes when Dr. Erskine recruits him for the secret Project Rebirth. Proving his extraordinary courage, wits and conscience, Rogers undergoes the experiment and his weak body is suddenly enhanced into the maximum human potential. When Dr. Erskine is then immediately assassinated by an agent of Nazi Germany's secret HYDRA research department (headed by Johann Schmidt, a.k.a. the Red Skull), Rogers is left as a unique man who is initially misused as a propaganda mascot; however, when his comrades need him, Rogers goes on a successful adventure that truly makes him Captain America, and his war against Schmidt begins.",2h4min
The Avengers,2012,PG-13,"The Avengers is a movie starring Robert Downey Jr., Chris Evans, and Scarlett Johansson. Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from...","alien invasion,superhero,s.h.i.e.l.d.,soldier,assassin","['Action', 'Adventure', 'Sci-Fi']","['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']",1131753,8.1,['Joss Whedon'],"['Joss Whedon', 'Zak Penn', 'Joss Whedon']","    Nick Fury is the director of S.H.I.E.L.D., an international peace-keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster which is formed by Loki and his team",2h23min
Iron Man 3,2013,PG-13,"Iron Man 3 is a movie starring Robert Downey Jr., Guy Pearce, and Gwyneth Paltrow. When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","terrorist,explosion,billionaire,missile attack,human bomb","['Action', 'Adventure', 'Sci-Fi']","['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow', 'Don Cheadle']",654944,7.2,['Shane Black'],"['Drew Pearce', 'Shane Black', 'Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby', 'Warren Ellis', 'Adi Granov']","    Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?",2h10min
Thor: The Dark World,2013,PG-13,"Thor: The Dark World is a movie starring Chris Hemsworth, Natalie Portman, and Tom Hiddleston. When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the...","open ended,end of the world,adopted brother,funeral,shapeshifting","['Action', 'Adventure', 'Fantasy']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård']",506704,7.0,['Alan Taylor'],"['Christopher L. Yost', 'Christopher Markus', 'Stephen McFeely', 'Don Payne', 'Robert Rodat', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Walter Simonson']","    Thousands of years ago, a race of beings known as Dark Elves tried to send the universe into darkness by using a weapon known as the Aether. Warriors from Asgard stop them but their leader Malekith escapes to wait for another opportunity. The warriors find the Aether and since it cannot be destroyed, they try to hide it. In the present day, Jane Foster awaits the return of Thor although it has been two years since they last saw once another. In the meantime, Thor has been trying to bring peace to the nine realms. Jane discovers an anomaly similar to the one that brought Thor to Earth. She goes to investigate, finds a wormhole, and is sucked into it. Back on Asgard, Thor wishes to return to Earth but his father, Odin refuses to let him. Thor learns from Heimdall, who can see into all of the realms, that Jane disappeared. Thor then returns to Earth just as Jane reappears. However, when some policemen try to arrest her, an unknown energy repulses them. Thor then brings Jane to Asgard to ...",1h52min
Captain America: The Winter Soldier,2014,PG-13,"Captain America: The Winter Soldier is a movie starring Chris Evans, Samuel L. Jackson, and Scarlett Johansson. As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D...","conspiracy,assassin,world domination,bionic arm,brainwashing","['Action', 'Adventure', 'Sci-Fi', 'Thriller']","['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford']",621747,7.8,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby', 'Gene Colan', 'Jack Kirby', 'Stan Lee', 'Joe Simon', 'Brian Michael Bendis', 'Don Heck', 'Steve Epting', 'Kieron Dwyer', 'Don Rico', 'Bob Harras', 'Dick Ayers', 'Ed Brubaker', 'David Finch', 'Mark Gruenwald', 'Paul Neary', 'Michael Lark', 'Howard Purcell']","    For Steve Rogers, awakening after decades of suspended animation involves more than catching up on pop culture; it also means that this old school idealist must face a world of subtler threats and difficult moral complexities. That becomes clear when Director Nick Fury is killed by the mysterious assassin, the Winter Soldier, but not before warning Rogers that SHIELD has been subverted by its enemies. When Rogers acts on Fury's warning to trust no one there, he is branded as a traitor by the organization. Now a fugitive, Captain America must get to the bottom of this deadly mystery with the help of the Black Widow and his new friend, The Falcon. However, the battle will be costly for the Sentinel of Liberty, with Rogers finding enemies where he least expects them while learning that the Winter Soldier looks disturbingly familiar.",2h16min
Guardians of the Galaxy,2014,PG-13,"Guardians of the Galaxy is a movie starring Chris Pratt, Vin Diesel, and Bradley Cooper. A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.","bounty hunter,outer space,tree,heroes,talking animal","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",885170,8.1,['James Gunn'],"['James Gunn', 'Nicole Perlman', 'Dan Abnett', 'Andy Lanning', 'Bill Mantlo', 'Keith Giffen', 'Jim Starlin', 'Steve Englehart', 'Steve Gan', 'Steve Gerber', 'Val Mayerik', 'Gene Colan', 'Arnold Drake', 'Jack Kirby', 'Stan Lee', 'Roger Stern', 'Marv Wolfman', 'Larry Lieber', 'Don Heck', 'John Buscema', 'Mike Friedrich']","    After stealing a mysterious orb in the far reaches of outer space, Peter Quill from Earth is now the main target of a manhunt led by the villain known as Ronan the Accuser. To help fight Ronan and his team and save the galaxy from his power, Quill creates a team of space heroes known as the ""Guardians of the Galaxy"" to save the galaxy.",2h1min
Avengers: Age of Ultron,2015,PG-13,"Avengers: Age of Ultron is a movie starring Robert Downey Jr., Chris Evans, and Mark Ruffalo. When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to...","superhero,marvel cinematic universe,based on comic book,artificial intelligence,final battle","['Action', 'Adventure', 'Sci-Fi']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",611666,7.4,['Joss Whedon'],"['Joss Whedon', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Jim Starlin', 'Roy Thomas', 'John Buscema']","    Tony Stark creates the Ultron Program to protect the world, but when the peacekeeping program becomes hostile, The Avengers go into action to try and defeat a virtually impossible enemy together. Earth's mightiest heroes must come together once again to protect the world from global extinction.",2h21min
Ant-Man,2015,PG-13,"Ant-Man is a movie starring Paul Rudd, Michael Douglas, and Corey Stoll. Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help...","heist,ant,sabotage,miniaturized man,corporate","['Action', 'Adventure', 'Comedy', 'Crime', 'Sci-Fi']","['Paul Rudd', 'Michael Douglas', 'Corey Stoll', 'Evangeline Lilly']",456858,7.3,['Peyton Reed'],"['Edgar Wright', 'Joe Cornish', 'Adam McKay', 'Paul Rudd', 'Edgar Wright', 'Joe Cornish', 'Stan Lee', 'Larry Lieber', 'Jack Kirby']","    Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",1h57min
Captain America: Civil War,2016,PG-13,"Captain America: Civil War is a movie starring Chris Evans, Robert Downey Jr., and Scarlett Johansson. Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.","marvel cinematic universe,based on comic book,superhero,siberia,bucharest","['Action', 'Adventure', 'Sci-Fi']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",530515,7.8,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby', 'Mark Millar', 'Steven McNiven']","    With many people fearing the actions of super heroes, the government decides to push for the Hero Registration Act, a law that limits a hero's actions. This results in a division in The Avengers. Iron Man stands with this Act, claiming that their actions must be kept in check otherwise cities will continue to be destroyed, but Captain America feels that saving the world is daring enough and that they cannot rely on the government to protect the world. This escalates into an all-out war between Team Iron Man (Iron Man, Black Panther, Vision, Black Widow, War Machine, and Spider-Man) and Team Captain America (Captain America, Bucky Barnes, Falcon, Scarlet Witch, Hawkeye, and Ant Man) while a new villain emerges.",2h27min
Doctor Strange,2016,PG-13,"Doctor Strange is a movie starring Benedict Cumberbatch, Chiwetel Ejiofor, and Rachel McAdams. While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","magic,wizard,magician,neurosurgeon,doctor","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']",457916,7.5,['Scott Derrickson'],"['Jon Spaihts', 'Scott Derrickson', 'C. Robert Cargill', 'Stan Lee', 'Steve Ditko']","    Marvel's ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City's Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.",1h55min
Guardians of the Galaxy Vol. 2,2017,PG-13,"Guardians of the Galaxy Vol. 2 is a movie starring Chris Pratt, Zoe Saldana, and Dave Bautista. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.","demi god,mixtape,alien creature,marvel cinematic universe,raccoon","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']",420793,7.7,['James Gunn'],"['James Gunn', 'Dan Abnett', 'Andy Lanning', 'Steve Englehart', 'Steve Gan', 'Jim Starlin', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Bill Mantlo', 'Keith Giffen', 'Steve Gerber', 'Val Mayerik']","    After saving Xandar from Ronan's wrath, the Guardians are now recognized as heroes. Now the team must help their leader Star Lord (Chris Pratt) uncover the truth behind his true heritage. Along the way, old foes turn to allies and betrayal is blooming. And the Guardians find that they are up against a devastating new menace who is out to rule the galaxy.",2h16min
Thor: Ragnarok,2017,PG-13,"Thor: Ragnarok is a movie starring Chris Hemsworth, Tom Hiddleston, and Cate Blanchett. Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the...","marvel comics,marvel cinematic universe,female villain,superhero,sequel","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']",401079,7.9,['Taika Waititi'],"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Steve Ditko', 'Greg Pak', 'Walter Simonson', 'Carlo Pagulayan']","    Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",2h10min
Spider-Man: Homecoming,2017,PG-13,"Spider-Man: Homecoming is a movie starring Tom Holland, Michael Keaton, and Robert Downey Jr.. Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on...","marvel cinematic universe,superhero,teenage superhero,reboot,based on comic book","['Action', 'Adventure', 'Sci-Fi']","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']",368166,7.5,['Jon Watts'],"['Jonathan Goldstein', 'John Francis Daley', 'Jon Watts', 'Christopher Ford', 'Chris McKenna', 'Erik Sommers', 'Jonathan Goldstein', 'John Francis Daley', 'Stan Lee', 'Steve Ditko', 'Joe Simon', 'Jack Kirby']","    Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May, under the watchful eye of his new mentor Tony Stark, Peter tries to fall back into his normal daily routine - distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man - but when the Vulture emerges as a new villain, everything that Peter holds most important will be threatened.",2h13min
Black Panther,2018,PG-13,"Black Panther is a movie starring Chadwick Boseman, Michael B. Jordan, and Lupita Nyong'o. After the death of his father, Prince T'Challa ascends to the throne of the small African country of Wakanda. T'Challa is also Black Panther,...","king,marvel cinematic universe,superhero,based on comic book,africa","['Action', 'Adventure', 'Sci-Fi']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']",411544,7.4,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee', 'Jack Kirby']","    After the events of Captain America: Civil War, Prince T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new king. However, T'Challa soon finds that he is challenged for the throne from factions within his own country. When two foes conspire to destroy Wakanda, the hero known as Black Panther must team up with C.I.A. agent Everett K. Ross and members of the Dora Milaje, Wakandan special forces, to prevent Wakanda from being dragged into a world war.",2h14min
Avengers: Infinity War,2018,PG-13,"Avengers: Infinity War is a movie starring Robert Downey Jr., Chris Hemsworth, and Mark Ruffalo. The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of...","death of recurring character,supervillain,superhero,ensemble cast,iron man character","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",519611,8.6,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Steve Englehart', 'Steve Gan', 'Bill Mantlo', 'Keith Giffen', 'Jim Starlin', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Steve Englehart', 'Don Heck', 'Jim Starlin']","    As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2h29min
Ant-Man and the Wasp,2018,PG-13,"Ant-Man and the Wasp is a movie starring Paul Rudd, Evangeline Lilly, and Michael Peña. As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man...","ant man,action heroine,superhero,action hero,female villain","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins']",145241,7.2,['Peyton Reed'],"['Chris McKenna', 'Erik Sommers', 'Paul Rudd', 'Andrew Barrer', 'Gabriel Ferrari', 'Stan Lee', 'Larry Lieber', 'Jack Kirby']","    In the aftermath of Captain America: Civil War (2016), Scott Lang grapples with the consequences of his choices as both a superhero and a father. As he struggles to rebalance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne and Dr. Hank Pym with an urgent new mission. Scott must once again put on the suit and learn to fight alongside The Wasp as the team works together to uncover secrets from their past.",1h58min
